Timestamp,Process,MemoryMB
2025-04-26 18:44:42,powershell,176.93
2025-04-26 18:44:42,explorer,373.03
2025-04-26 18:44:42,notepad,85.92
2025-04-26 18:44:42,firefox,18.02
2025-04-26 18:44:56,powershell,183.91
2025-04-26 18:44:56,explorer,372.98
2025-04-26 18:44:56,notepad,85.92
2025-04-26 18:44:56,firefox,907.26
2025-04-26 18:44:57,powershell,184.54
2025-04-26 18:44:57,explorer,372.98
2025-04-26 18:44:57,notepad,85.92
2025-04-26 18:44:57,firefox,892.74
2025-04-26 18:45:11,powershell,188.54
2025-04-26 18:45:11,explorer,371.86
2025-04-26 18:45:11,notepad,85.92
2025-04-26 18:45:11,firefox,1099
2025-04-26 18:45:12,powershell,188.49
2025-04-26 18:45:12,explorer,371.69
2025-04-26 18:45:12,notepad,85.92
2025-04-26 18:45:12,firefox,1341.29
2025-04-26 18:45:26,powershell,188.43
2025-04-26 18:45:26,explorer,371.66
2025-04-26 18:45:26,notepad,85.92
2025-04-26 18:45:26,firefox,1517.51
2025-04-26 18:45:27,powershell,186.23
2025-04-26 18:45:27,explorer,371.66
2025-04-26 18:45:27,notepad,85.92
2025-04-26 18:45:27,firefox,1518.41
2025-04-26 18:45:41,powershell,186.34
2025-04-26 18:45:41,explorer,371.66
2025-04-26 18:45:41,notepad,85.92
2025-04-26 18:45:41,firefox,1170.35
2025-04-26 18:45:42,powershell,182.69
2025-04-26 18:45:42,explorer,371.66
2025-04-26 18:45:42,notepad,85.92
2025-04-26 18:45:42,firefox,1172.09
2025-04-26 18:45:56,powershell,182.58
2025-04-26 18:45:56,explorer,371.4
2025-04-26 18:45:56,notepad,85.92
2025-04-26 18:45:56,firefox,1593.02
2025-04-26 18:45:57,powershell,184.25
2025-04-26 18:45:57,explorer,371.39
2025-04-26 18:45:57,notepad,85.92
2025-04-26 18:45:57,firefox,1527.71
2025-04-26 18:46:11,powershell,183.39
2025-04-26 18:46:11,explorer,371.13
2025-04-26 18:46:11,notepad,85.92
2025-04-26 18:46:11,firefox,2074.54
2025-04-26 18:46:12,powershell,184.07
2025-04-26 18:46:12,explorer,371.14
2025-04-26 18:46:12,notepad,85.92
2025-04-26 18:46:12,firefox,2102.86
2025-04-26 18:46:26,powershell,173.16
2025-04-26 18:46:26,explorer,370.91
2025-04-26 18:46:26,notepad,85.86
2025-04-26 18:46:26,firefox,2088.37
2025-04-26 18:46:28,powershell,174.34
2025-04-26 18:46:28,explorer,370.91
2025-04-26 18:46:28,notepad,85.86
2025-04-26 18:46:28,firefox,2083.07
2025-04-26 18:46:41,powershell,91.2
2025-04-26 18:46:41,explorer,370.33
2025-04-26 18:46:41,notepad,85.86
2025-04-26 18:46:41,firefox,0
2025-04-26 18:46:56,powershell,92.38
2025-04-26 18:46:56,explorer,379.13
2025-04-26 18:46:56,notepad,85.86
2025-04-26 18:46:56,firefox,0
